OBJECTID,Proponent,Branch,Base,Facility,Airspace,Reason,State,POC,FAA_ID,Floor,Ceiling,County,Shape__Area,Shape__Length
21,DOD,USN,Whiting Field,NOLF Summerdale,G,NATIONAL SECURITY,AL,NASWF CDO (850)382-4966,20161222-DOD-Whiting-NOLF Summerdale,Surface,400' AGL,BALDWIN,0.000200262124053552,0.0648553375094192
22,DOD,USN,Whiting Field,NOLF Choctaw,D,NATIONAL SECURITY,FL,NASWF CDO (850)382-4966,20161222-DOD-Whiting-NOLF Choctaw,Surface,400' AGL,SANTA ROSA,0.00167563932700432,0.17196594577712
23,DOD,USN,Whiting Field,NOLF Site 8,G,NATIONAL SECURITY,FL,NASWF CDO (850)382-4966,20161222-DOD-Whiting-NOLF Site 8,Surface,400' AGL,ESCAMBIA,0.000246990753112186,0.0630869709721768
24,DOD,USN,Whiting Field,NOLF Silverhill,G,NATIONAL SECURITY,AL,NASWF CDO (850)382-4966,20161222-DOD-Whiting-NOLF Silverhill,Surface,400' AGL,BALDWIN,0.000106072023754678,0.041842181462016
25,DOD,USN,Whiting Field,NOLF Santa Rosa,G,NATIONAL SECURITY,FL,NASWF CDO (850)382-4966,20161222-DOD-Whiting-NOLF Santa Rosa,Surface,400' AGL,SANTA ROSA,0.00022592562936552,0.0603269353909999
26,DOD,USN,Whiting Field,NOLF Spencer,G,NATIONAL SECURITY,FL,NASWF CDO (850)382-4966,20161222-DOD-Whiting-NOLF Spencer,Surface,400' AGL,SANTA ROSA,0.000242515417767208,0.0625167736281902
27,DOD,USN,Whiting Field,NOLF Harold,G,NATIONAL SECURITY,FL,NASWF CDO (850)382-4966,20161222-DOD-Whiting-NOLF Harold,Surface,400' AGL,SANTA ROSA,0.00019689657597155,0.0562850536083361
28,DOD,USN,Whiting Field,NOLF Pace,G,NATIONAL SECURITY,FL,NASWF CDO (850)382-4966,20161222-DOD-Whiting-NOLF Pace,Surface,400' AGL,SANTA ROSA,7.56313538659015e-05,0.0348607532491394
29,DOD,USN,Whiting Field,NAS Whiting Field,C,NATIONAL SECURITY,FL,NASWF CDO (850)382-4966,20161222-DOD-Whiting-NAS Whiting Field,Surface,400' AGL,SANTA ROSA,0.00140033106913506,0.214349772849451
30,DOD,USN,Whiting Field,NOLF X,G,NATIONAL SECURITY,FL,NASWF CDO (850)382-4966,20161222-DOD-Whiting-NOLF X,Surface,400' AGL,SANTA ROSA,0.000240273400549995,0.0623115361077465
31,DOD,USN,Whiting Field,NOLF Brewton,G,NATIONAL SECURITY,AL,NASWF CDO (850)382-4966,20161222-DOD-Whiting-NOLF Brewton,Surface,400' AGL,ESCAMBIA,0.000257086004694429,0.0785499889223718
32,DOD,USA,Camp Shelby,Shelby/Hagler AAF,G,NATIONAL SECURITY,MS,"LTC Jerry Lewis, 404 305-6916          Barney Owens 703 806-4865",20161222-DOD-Camp Shelby-Shelby/Hagler AAF,Surface,400' AGL,FORREST,0.00394288590450742,0.283230673105574
33,DOD,USA,"Fort Rucker, AL",Cairns AAF,D,NATIONAL SECURITY,AL,"LTC Jerry Lewis, 404 305-6916          Barney Owens 703 806-4865",20161222-DOD-Fort Rucker-Cairns AAF,Surface,400' AGL,DALE,0.000447582233846333,0.0987335356242464
34,DOD,USA,"Fort Rucker, AL",Shell AAF,G,NATIONAL SECURITY,AL,"LTC Jerry Lewis, 404 305-6916          Barney Owens 703 806-4865",20161222-DOD-Fort Rucker-Shell AAF,Surface,400' AGL,DALE,8.54807749419706e-05,0.0369231901671587
35,DOD,USN,Whiting Field,NOLF Evergreen,G,NATIONAL SECURITY,AL,NASWF CDO (850)382-4966,20161222-DOD-Whiting-NOLF Evergreen,Surface,400' AGL,CONECUH,0.000153767868368959,0.0844828435196206
36,DOD,USMC,MCLB Albany,MCLB Albany,G,NATIONAL SECURITY,GA,Command Duty Officer (229) 639-5206,20161222-DOD-Albany-Marine Corps Logistics Command (MARCORLOGCOM),Surface,400' AGL,DOUGHERTY,0.00121010011139333,0.200097867415941
37,DOD,USAF,Key Field,Key Field,D,NATIONAL SECURITY,MS,Alan Tibbetts  (601) 484-9460  charles.a.tibbetts.civ@mail.mil,20161222-DOD-Key Field-Key Field,Surface,400' AGL,LAUDERDALE,4.10807963362458e-05,0.0285793235208195
38,DOD,USAF,Maxwell AFB,Maxwell AFB,D,NATIONAL SECURITY,AL,"42 OSS/OSA, Airfield Operations Flight Commander (334) 953-2134           Emergency: Maxwell AFB Command Post,      42 ABW/CP,      (334) 953-7474",20161222-DOD-Maxwell AFB-Maxwell AFB,Surface,400' AGL,MONTGOMERY,0.000801955143060695,0.119432537732192
39,DOD,USA,Marana,Silverbell AHP,G,NATIONAL SECURITY,AZ,WSA DAR (206)231-2505 or 9-ANM-DAR-ArmyMILREP@faa.gov,20161222-DOD-Marana-Silverbell AHP,Surface,400' AGL,PINAL,5.16551835971768e-05,0.0328697630624282
40,DOD,USN,Naval Base Coronado,NOLF Imperial Beach 1,"D, E, G",NATIONAL SECURITY,CA,"LT Shannon Thayer, Air Operations, ATC, 619-545-8238, Shannon.Thayer@navy.mil (CDO 619-778-4862)-contact CDO after working hours",20161222-DOD-Coronado-NOLF Imperial Beach 1,Surface,400' AGL,SAN DIEGO,0.0002084408185965,0.0623283349873981
41,DOD,USN,NAS Meridian,McCain Field,D,NATIONAL SECURITY,MS,NASMER CDO 601-695-7055,20161222-DOD-Meridian-McCain Field,Surface,400' AGL,LAUDERDALE,0.0025902973218308,0.381780396838132
42,DOD,USN,Naval Base Coronado,NOLF Imperial Beach 2,"D, E, G",NATIONAL SECURITY,CA,"LT Shannon Thayer, Air Operations, ATC, 619-545-8238, Shannon.Thayer@navy.mil (CDO 619-778-4862)-contact CDO after working hours",20161222-DOD-Coronado-NOLF Imperial Beach 2,Surface,400' AGL,SAN DIEGO,0.000184944734883175,0.0602409055512196
43,DOD,USN,Naval Base Coronado,NAS North Island 1,"D, E, G",NATIONAL SECURITY,CA,"LT Shannon Thayer, Air Operations, ATC, 619-545-8238, Shannon.Thayer@navy.mil (CDO 619-778-4862)-contact CDO after working hours (strand complex POC is NBC ODO (619) 545-8233)",20161222-DOD-Coronado-NAS North Island 1,Surface,400' AGL,SAN DIEGO,4.25572834501509e-05,0.0298929479768871
44,DOD,USA,Marana,Picacho AAF,G,NATIONAL SECURITY,AZ,WSA DAR (206)231-2505 or 9-ANM-DAR-ArmyMILREP@faa.gov,20161222-DOD-Marana-Picacho AAF,Surface,400' AGL,PINAL,3.22419323310896e-05,0.0230819614848892
45,DOD,USN,Naval Base Coronado,NAS North Island 2,"D, E, G",NATIONAL SECURITY,CA,"LT Shannon Thayer, Air Operations, ATC, 619-545-8238, Shannon.Thayer@navy.mil (CDO 619-778-4862)-contact CDO after working hours (strand complex POC is NBC ODO (619) 545-8233)",20161222-DOD-Coronado-NAS North Island 2,Surface,400' AGL,SAN DIEGO,8.49812142860173e-05,0.0401849068401733
46,DOD,USN,Naval Base Coronado,NAS North Island 4,"D, E, G",NATIONAL SECURITY,CA,"LT Robert Righetti, 619-553-7197, N3, robert.righetti@navy.mil (CDO 858-431-6482)-contact CDO after working hours",20161222-DOD-Coronado-NAS North Island 4,Surface,400' AGL,SAN DIEGO,0.000474652625371164,0.11839988802569
47,DOD,USN,Naval Base Coronado,NAS North Island 5,"D, E, G",NATIONAL SECURITY,CA,"LT Shannon Thayer, Air Operations, ATC, 619-545-8238, Shannon.Thayer@navy.mil (CDO 619-778-4862)-contact CDO after working hours",20161222-DOD-Coronado-NAS North Island 5,Surface,400' AGL,SAN DIEGO,0.00100501445967893,0.133740380903
48,DOD,USN,NAS Meridian,OLF Joe Williams,D,NATIONAL SECURITY,MS,NASMER CDO 601-695-7055,20161222-DOD-Meridian-OLF Joe Williams,Surface,400' AGL,KEMPER,0.000317151456329157,0.108666342397014
49,DOD,USA,Yuma Proving Ground,Laguna AAF,D,NATIONAL SECURITY,AZ,WSA DAR (206)231-2505 or 9-ANM-DAR-ArmyMILREP@faa.gov,20161222-DOD-Yuma Proving Ground-Laguna AAF,Surface,400' AGL,YUMA,0.00694685999928879,0.342197328321247
50,DOD,USAF,Gila Bend Aux Field (KGXF),Luke AFB,D,NATIONAL SECURITY,AZ,Primary:  Mr. William Gillies (623) 856 5855   william.gillies@us.af.mil                                               Alternate: D. Scott Wilson (210) 652-5539   david.wilson.123@us.af.mil,20161222-DOD-Gila Bend Aux Field (KGXF)-Luke AFB,Surface,400' AGL,MARICOPA,0.00247559643753448,0.204819780174292
51,DOD,USAF,Gunshy/Shuqualak Aux Field,Gunshy Shuqualak Aux,G,NATIONAL SECURITY,MS,"Capt Patrick Flynn (229)-300-1266; patrick.flynn.9@us.af.mil                           Emergency: Columbus AFB Command Post      14 FTW/CP     (662) 434- 7020",20161222-DOD-Gunshy/Shuqualak Aux Field-Gunshy Shuqualak Aux,Surface,400' AGL,NOXUBEE,0.000223379618319086,0.0864391556353495
52,DOD,USN,NBVC,OLF San Nicholas,"D, G",NATIONAL SECURITY,CA,NBVC Mugu CDO 805-207-7277,20161222-DOD-Ventura County-OLF San Nicholas,Surface,400' AGL,VENTURA,0.0056617976661073,0.347821915221807
53,DOD,USAF,Columbus AFB,Columbus AFB,C,NATIONAL SECURITY,MS,"Capt Patrick Flynn (229)-300-1266; patrick.flynn.9@us.af.mil                                         Emergency: Columbus AFB Command Post      14 FTW/CP     (662) 434- 7020",20161222-DOD-Columbus AFB-Columbus AFB,Surface,400' AGL,LOWNDES,0.00145022843730658,0.167621282282128
54,DOD,USAF,Jt Base McEntire,Jt Base McEntire,D,NATIONAL SECURITY,SC,Command Post (501) 987-1900.,20161222-DOD-Jt Base McEntire-Jt Base McEntire,Surface,400' AGL,RICHLAND,0.000913529352374098,0.133261581057063
55,DOD,USMC,MCAS Cherry Point,MCALF Bogue ,D,NATIONAL SECURITY,NC,Command Duty Officer (252) 466-5236,20161222-DOD-MCALF Bogue-Auxillary Landing Field (ALF) Bogue CDSA  by NOTAM during scheduled operations only.,Surface,400' AGL,CARTERET,0.000291745334379812,0.0807358339795071
56,DOD,USA,Camp Robinson,Robinson AAF,G,NATIONAL SECURITY,AR,"Dustin Beene, 501-212-5657   Emergency: Joint Operations Center, 501-212-5474",20161222-DOD-Camp Robinson-Robinson AAF,Surface,400' AGL,PULASKI,0.00158389816806448,0.163772042527474
57,DOD,USMC,MCAS Cherry Point,MCOLF Oak Grove,D,NATIONAL SECURITY,NC,Command Duty Officer (252) 466-5236,20161222-DOD-Oak Grove-Outlying Landing Field (OLF) Oak Grove CDSA by NOTAM.  Heavy use as an uncontrolled airport.,Surface,400' AGL,JONES,0.000364843745273902,0.105870850654404
58,DOD,USAF,Stanly County,Stanly County,D,NATIONAL SECURITY,NC,Scott Stevenson  (704) 422-2551  scott.t.stevenson.civ@mail.mil,20161222-DOD-Stanly County-Stanly County,Surface,400' AGL,STANLY,0.000130660899458235,0.0651857292576503
59,DOD,USN,NAS Lemoore,KNLC 1,"D, G",NATIONAL SECURITY,CA,"LT Ryan Jones, ATC, 559-998-1093, ryan.r.jones2@navy.mil (CDO 559-707-0001)-contact CDO after working hours",20161222-DOD-Lemoore-KNLC 1,Surface,400' AGL,KINGS,0.000585718195907248,0.110435003940698
60,DOD,USAF,Vance AFB,Vance AFB,D,NATIONAL SECURITY,OK,"71 OSS/OSO, Vance Airspace Manager (580) 213-7820; email:  Vance.Drone.UAS.Request@us.af.mil                                             Emergency: Vance AFB Command Post    71 FTW/CP  (580) 213-6173",20161222-DOD-Vance AFB-Vance AFB,Surface,400' AGL,GARFIELD,0.000767424715832021,0.128955719942115
61,DOD,USN,NAS Lemoore,KNLC 2,"D, G",NATIONAL SECURITY,CA,"LT Ryan Jones, ATC, 559-998-1093, ryan.r.jones2@navy.mil (CDO 559-707-0001)-contact CDO after working hours",20161222-DOD-Lemoore-KNLC 2,Surface,400' AGL,KINGS,0.00414397236681907,0.258446683036122
62,DOD,USN,NAS Oceana,NAF Fentress,E2,NATIONAL SECURITY,VA,NTU Oceana TRACON 757-433-2968,20161222-DOD-Oceana-NAF Fentress,Surface,400' AGL,CHESAPEAKE,0.000834153861660525,0.169819218790027
63,DOD,USAF,Kegelman Aux Field (KCKA) (AUX),Kegelman Aux,G,NATIONAL SECURITY,OK,"71 OSS/OSO, Vance Airspace Manager (580) 213-7820; email:  Vance.Drone.UAS.Request@us.af.mil                                             Emergency: Vance AFB Command Post      71 FTW/CP  (580) 213-6173",20161222-DOD-Kegelman-Kegelman Aux,Surface,400' AGL,ALFALFA,0.000423091492393723,0.096331071505281
64,DOD,USA,Fort Picket,Blackstone AAF,D,NATIONAL SECURITY,VA,"LTC Jerry Lewis, 404 305-6916          Barney Owens 703 806-4865",20161222-DOD-Fort Picket-Blackstone AAF,Surface,400' AGL,NOTTOWAY,0.0149338677458672,0.492233256168074
65,DOD,USAF,Moffett Field,Moffett Field,C,NATIONAL SECURITY,CA,William Smith  (650) 603-9212  william.e.smith70.civ@mail.mil,20161222-DOD-Moffett Field-Moffett Field,Surface,400' AGL,SANTA CLARA,5.33836605427496e-05,0.0366310229385756
66,DOD,USN,NAS Patuxent River OLF,Webster OLF,R,NATIONAL SECURITY,MD,NAS PAX CDO 240-731-7527,20161222-DOD-Patuxent River-Webster OLF,Surface,400' AGL,ST. MARY'S,0.000318614794196037,0.0823980833718439
67,DOD,USN,NAS Patuxent River,Patuxent APP,D,NATIONAL SECURITY,MD,NAS PAX CDO 240-731-7527,20161222-DOD-Patuxent River-Patuxent APP,Surface,400' AGL,ST. MARY'S,0.0026315016141325,0.246080201969936
68,DOD,USA,Pohakuloa Training Area,Bradshaw AAF,D,NATIONAL SECURITY,HI,WSA DAR (206)231-2505 or 9-ANM-DAR-ArmyMILREP@faa.gov,20161222-DOD-Pohakuloa Training Area-Bradshaw AAF,Surface,400' AGL,HAWAII,0.000189344415957748,0.0744892579477585
69,DOD,USA,Schofield Barracks,Wheeler AAF,D,NATIONAL SECURITY,HI,WSA DAR (206)231-2505 or 9-ANM-DAR-ArmyMILREP@faa.gov,20161222-DOD-Schofield Barracks-Wheeler AAF,Surface,400' AGL,HONOLULU,0.00120582148224457,0.155536381771695
70,DOD,USAF,Kalaeloa Airport,"John Rogers Field, HI",D,NATIONAL SECURITY,HI,Ray Simpson  (808) 448-8181  norman.simpson@us.af.mil,"20161222-DOD-Kalaeloa-John Rogers Field, HI",Surface,400' AGL,HONOLULU,0.000458878052995715,0.0885386606231228
71,DOI,BUREAU OF RECLAMATION,,Folsom Dam,"E, G",NATIONAL SECURITY,CA,Tim Lawson TLawson@usbr.gov 916-989-7171,20170518-DOI-Folsom Dam,Surface,400' AGL,"SACRAMENTO, PLACER",0.000128689006942295,0.0854137002380578
72,DOI,BUREAU OF RECLAMATION,,Glen Canyon Dam,"E, G",NATIONAL SECURITY,AZ,Ron Anderson 928-645-0405 randerson@usbr.gov,20170518-DOI-Glen Canyon Dam,Surface,400' AGL,COCONINO,3.96134000766324e-05,0.0332413890957064
73,DOI,NATIONAL PARK SERVICE,,Jefferson National Expansion Memorial,D,NATIONAL SECURITY,MO,"Scott M. Cluck Physical Security/Anti-Terrorism Specialist Law Enforcement Division National Park Service JNEM St. Louis, MO (314) 655-1738 Office (314) 518-0193 Cell scott_cluck@nps.gov",20170518-DOI-Jefferson National Expansion Memorial,Surface,400' AGL,ST. LOUIS,3.53642435584334e-05,0.027926226466136
74,DOD,USMC,MCB Quantico,MCB Quantico,D/G,NATIONAL SECURITY,VA,Command Duty Officer (703) 784-2707/(703) 784-5587 ,20170522-DOD-Quantico-MCB Quantico,Surface,400' AGL,"FAUQUIER, PRINCE WILLIAM, STAFFORD",0.0213132956023401,0.836706843831592
75,DOD,USAF,Joint Base Langley Eustis - Fort Eustis,Felker AAF 1,D/G,NATIONAL SECURITY,VA,LTC Jerry Lewis (404) 305-6916      911_POC: Staff Duty Officer (757) 878-3793,20170602-DOD-Fort Eustis-Felker AAF 1,Surface,400' AGL,NEWPORT NEWS CITY,0.00320633419414662,0.406096120069552
76,DOD,USAF,Joint Base Langley Eustis - Fort Eustis,Felker AAF 2,D/G,NATIONAL SECURITY,VA,LTC Jerry Lewis (404) 305-6916      911_POC: Staff Duty Officer (757) 878-3793,20170602-DOD-Fort Eustis-Felker AAF 2,Surface,400' AGL,NEWPORT NEWS CITY,8.99213659977249e-06,0.0165159832641966
77,DOE,Pantex,,Pantex Site,G,NATIONAL SECURITY,TX,"Operations Center 806 477-5000, Gary Wisdom, 806 4773918, c: 806 881-4136, gdwisdom@pantex.com",20170202-DOE-Pantex,Surface,400' AGL,CARSON,0.00213571570134263,0.238501613978289
78,DOE,NNSA,,Los Alamos National Laboratory,G,NATIONAL SECURITY,NM,"EOC 505 667-6211, Brent Belcoff, 505 667-7778, c: 505 399-6445, Brent.Belcoff@nnsa.doe.gov",20170202-DOE-Los Alamos,Surface,400' AGL,LOS ALAMOS,0.00184155292481591,0.411214089174726
79,DOE,SRS,,Savannah River Site,G,NATIONAL SECURITY,SC,"Ops Center 803-725-3200, Mark Spurlock, 803-952-8265, mark.spurlock@srs.gov",20170202-DOE-Savannah River,Surface,400' AGL,AIKEN,0.0485404608000408,0.887900899420609
80,DOE,Y-12,,Y-12 National Security Site,G,NATIONAL SECURITY,TN,"Ops Center 865 574-7176/7172, Tom Hayden, 865 576-7259, c:  865 206-4666, Haydentw@y12.doe.gov",20170202-DOE-Y-12,Surface,400' AGL,ANDERSON,0.00121733818991743,0.146054283904656
81,DOE,ORNL,,Oak Ridge National Laboratory,G,NATIONAL SECURITY,TN,"Shift Superintendent 865 574-6606, Johnny Moore, 865 576 3536, moorejo@ornl.gov",20170202-DOE-Oak Ridge,Surface,400' AGL,ROANE,0.000963771991337126,0.133142933428921
82,DOD,USAF,Seymour Johnson AFB,Installation, D,NATIONAL SECURITY,NC,"4 FW/Command Post: 919-722-0004, 919-722-7491/4097     Emergency: 24-hr Facility, 4 FW/Command Post: 919-722-0004",20170518-DOD-Seymour Johnson AFB-Installation,Surface,400' AGL,WAYNE,0.00122987966165056,0.206733477751378
83,DOD,USAF,Nellis,Installation 1,B,NATIONAL SECURITY,NV,"Airspace Mgr: 702-652-7688     Emergency: Command Post: 702-652-2448,  Airspace Mgr: 702-652-7688",20170518-DOD-Nellis-Installation 1,Surface,400' AGL,CLARK,0.00567427288933686,0.46217383196523
84,DOD,USAF,Nellis,Installation 2,B,NATIONAL SECURITY,NV,"Airspace Mgr: 702-652-7688     Emergency: Command Post: 702-652-2448,  Airspace Mgr: 702-652-7688",20170518-DOD-Nellis-Installation 2,Surface,400' AGL,CLARK,0.000456223391211097,0.106764526612542
85,DOD,USAF,Barksdale,Installation,C,NATIONAL SECURITY,LA,ATC:  318-456-2116     Emergency: Command Post: 318-456-2151,20170518-DOD-Barksdale-Installation,Surface,400' AGL,BOSSIER,0.00838248278864739,0.478157442225736
86,DOD,USAF,Kirtland AFB,Installation 1,C,NATIONAL SECURITY,NM,Command Post: 505-846-0011     Emergency: Command Post: 505-846-0011,20170518-DOD-Kirtland AFB-Installation 1,Surface,400' AGL,BERNALILLO,0.018174990083935,0.831913841182035
87,DOD,USAF,Kirtland AFB,Installation 2,C,NATIONAL SECURITY,NM,Command Post: 505-846-0011     Emergency: Command Post: 505-846-0011,20170518-DOD-Kirtland AFB-Installation 2,Surface,400' AGL,BERNALILLO,2.76791365649842e-05,0.0219478959885505
88,DOD,USAF,Whiteman AFB,Installation 1,D,NATIONAL SECURITY,MO,"Voskovitch/Air Sp Mgr: 660-687-1110     Emergency: Command Post:  660-687-3778, Airspace Mgr:  660-687-1110",20170518-DOD-Whiteman AFB-Installation 1,Surface,400' AGL,JOHNSON,4.23436631535878e-07,0.00298573426428537
89,DOD,USAF,Whiteman AFB,Installation 2,D,NATIONAL SECURITY,MO,"Voskovitch/Air Sp Mgr: 660-687-1110     Emergency: Command Post:  660-687-3778, Airspace Mgr:  660-687-1110",20170518-DOD-Whiteman AFB-Installation 2,Surface,400' AGL,JOHNSON,0.00020100583446947,0.0722675593011615
90,DOD,USAF,Whiteman AFB,Installation 3,D,NATIONAL SECURITY,MO,"Voskovitch/Air Sp Mgr: 660-687-1110     Emergency: Command Post:  660-687-3778, Airspace Mgr:  660-687-1110",20170518-DOD-Whiteman AFB-Installation 3,Surface,400' AGL,JOHNSON,0.00191078126681532,0.203998284908065
91,DOD,USAF,Creech,Installation 1,D,NATIONAL SECURITY,NV,Airspace Mgr: 702-652-7891     Emergency: Comman Post: 702-652-1110,20170518-DOD-Creech-Installation 1,Surface,400' AGL,CLARK,2.24007239921775e-05,0.0352148543832923
92,DOD,USAF,Creech,Installation 2,D,NATIONAL SECURITY,NV,Airspace Mgr: 702-652-7891     Emergency: Comman Post: 702-652-1110,20170518-DOD-Creech-Installation 2,Surface,400' AGL,CLARK,0.000896482647931407,0.151563578268998
93,DOD,USAF,Dyess,Installation 1,C,NATIONAL SECURITY,TX,"Mr. Dwight Williams, Airspace Manager: 325-696-3666     Emergency: Command Post: 325-696-192, Airspace Mgr: 325-696-3666",20170518-DOD-Dyess-Installation 1,Surface,400' AGL,TAYLOR,0.00201118740756101,0.223866178858642
94,DOD,USAF,Dyess,Installation 2,C,NATIONAL SECURITY,TX,"Mr. Dwight Williams, Airspace Manager: 325-696-3666     Emergency: Command Post: 325-696-192, Airspace Mgr: 325-696-3666",20170518-DOD-Dyess-Installation 2,Surface,400' AGL,TAYLOR,1.08051654024166e-06,0.00547352085164065
95,DOD,USAF,Holloman AFB,Installation 1,D,NATIONAL SECURITY,NM,"Base Operations: 505-572-7575     Emergency: Command Post: 575-572-7575, Base Operations: 505-572-7575",20170518-DOD-Holloman AFB-Installation 1,Surface,400' AGL,OTERO,3.16248674607778e-05,0.0297638311151976
96,DOD,USAF,Holloman AFB,Installation 2,D,NATIONAL SECURITY,NM,"Base Operations: 505-572-7575     Emergency: Command Post: 575-572-7575, Base Operations: 505-572-7575",20170518-DOD-Holloman AFB-Installation 2,Surface,400' AGL,OTERO,2.32237653108314e-07,0.00251907931934041
