objectid,statefp,countyfp,tractce,blkgrpce,geoid,namelsad,x_crf1,x_crf2,x_crf3,x_cl1,x_cl2,x_highsec,x_medsec,x_datasec,x_areasec,x_usgsdw_s,x_oswcrdw_,x_crf4,x_oswcr_pe,x_usgs_per,x_wq_score,x_wq_per,x_datacov,globalid,Shape__Area,Shape__Length
50,06,097,153006,1,060971530061,Block Group 1,1,0,1.87,PB, ,1,0,1,1,41.4,22,100,81,86,118.67,43,100,14e8cd48-ceff-4f26-8ea4-139ad7b52c51,459297.94921875,2802.77785968669
51,06,097,153006,2,060971530062,Block Group 2,2,0,1.47,"PB; AS", ,2,0,2,2,56.44,36,100,85,88,214.68,63,100,f894ab08-131a-4ea7-8a9d-43dbeddd1031,1018441.94921875,7665.78883256239
52,06,097,153006,3,060971530063,Block Group 3,2,0,1.32,"PB; AS", ,3,0,4,4,233.52,203,75,95,94,159.91,53,100,895490a8-57c0-4118-a2b3-42a912ae8a8a,1971149.35546875,7383.07174716144
53,06,097,153403,4,060971534034,Block Group 4,1,1,1.52,AS,AS,1,0,2,2,97.12,82,50,91,91,82.58,33,100,e3705c36-5d20-4544-842f-1eb39d634364,859347.765625,4001.02785726016
54,06,111,007611,1,061110076111,Block Group 1,0,0,0,NA,NA,0,0,0,1,0,0,0,36,37,0,0,0,d7674870-a1e9-4bc1-9586-5e6f376071d9,1043579.90625,4193.44755136871
55,06,085,509401,1,060855094011,Block Group 1,0,0,0, , ,0,0,2,2,0.81,2,0,52,53,0,0,100,6a30b057-0372-4eeb-9d46-3676a7925872,368045.17578125,3891.49155102823
56,06,111,002905,1,061110029051,Block Group 1,1,2,1.1,NO3N,"NO3N; SE",1,1,9,13,85.17,13,11.54,76,90,24.35,11,69.23,728d54b6-6ab2-4e5d-bef7-ebbf2c8a79de,29758102.3007813,26771.6029648125
57,06,111,003013,1,061110030131,Block Group 1,2,3,1.11,"ALPHA; NO3N","ALPHA; SE; NO3N",1,0,1,1,0.08,1,100,45,43,361.06,79,100,47927e1b-1f61-49d3-803d-a41ed5bad655,1028045.18359375,4081.61605704818
58,06,111,003609,1,061110036091,Block Group 1,0,0,0, , ,0,0,3,3,0.02,3,0,58,41,0,0,100,5280a205-1c84-4e77-9773-c49d66deb896,2533175.72265625,8857.67646516017
59,06,111,003612,1,061110036121,Block Group 1,0,0,0,NA,NA,0,0,0,9,0,0,0,36,37,0,0,0,581ccf07-4b3e-493a-9e09-84a44b2a4e6d,9279852.7421875,23781.1435663441
60,06,111,003801,1,061110038011,Block Group 1,1,1,1.1,NO3N,NO3N,1,0,2,2,3.79,8,50,71,66,80.5,31,100,0c6ad1ff-e5ff-4de1-a3c3-39f86d5532b3,429025.71875,2921.18503924753
61,06,111,003609,2,061110036092,Block Group 2,0,0,0, , ,0,0,4,4,0,4,0,62,25,0,0,100,4166b31b-1a80-47d6-879f-c108c08ca7e5,1733884.7578125,8485.63242251032
62,06,065,042516,1,060650425161,Block Group 1,1,1,1.39,NO3N,PCATE,1,0,1,1,4.28,0,100,16,67,163.86,56,100,d35c3ed1-4c94-445f-a27b-21c42bbb6791,944814.7265625,3888.72632860846
63,06,065,041805,2,060650418052,Block Group 2,5,4,1.43,"TCPR123; NO3N; PCATE; ALPHA; U","NO3N; PCATE; ALPHA; U",4,0,4,4,1.14,7,100,68,56,714.26,94,100,8cd2b4a9-317c-4e8d-a675-1353e28826d3,1283837.71484375,5373.15931385854
64,06,065,042510,2,060650425102,Block Group 2,0,0,0,NA,NA,0,0,0,1,5.55,0,0,32,70,0,0,0,288270f8-3721-4b7f-af59-ef46fac69d60,462993.3046875,2882.95087125603
65,06,065,042007,1,060650420071,Block Group 1,1,1,1.12,NO3N,NO3N,7,1,10,48,869.65,270,15.62,97,99,25.2,15,20.83,6eedf80a-4a2f-4e8f-b44e-0bb2e0b03c33,119319331.734375,55232.7701821363
66,06,065,046402,1,060650464021,Block Group 1,0,1,0, ,NO3N,0,3,3,3,108.98,27,50,83,91,25,14,100,ddcb011f-f13b-4a0f-b32f-84db4ce11667,1489771.59375,8409.74937258137
67,06,065,042720,2,060650427202,Block Group 2,3,2,1.17,"TCPR123; NO3N; BA","NO3N; BA",9,0,14,17,92.59,153,52.94,94,90,217.94,64,82.35,100c1aa9-fb9c-442a-ade9-358aea4eb81b,27855868.1679688,28211.4325492282
68,06,065,042004,2,060650420042,Block Group 2,0,0,0,NA,NA,0,0,0,7,2.34,58,0,88,62,0,0,0,055d04ed-f465-4bb5-8079-cda1b1593f2e,5012181.1875,14311.0407945972
69,06,065,042210,2,060650422102,Block Group 2,1,1,1.49,DBCP,NO3N,1,0,1,2,0.63,4,50,60,52,82.44,33,50,d1b2afde-c139-4f10-b755-aea7b047332d,953267.89453125,4885.92912002729
70,06,065,030800,3,060650308003,Block Group 3,5,0,3.32,"DBCP; TCE; PCATE; NO3N; PCE", ,1,0,2,2,0,1,50,41,16,266.58,71,100,111e2092-0d9b-4fa8-9ce1-13725bb33e72,745070.7890625,4106.86159556937
71,06,065,040604,1,060650406041,Block Group 1,3,2,1.31,"NO3N; TCPR123; PCATE","NO3N; DCE11",1,0,2,2,0.37,0,50,16,49,206.53,62,100,87bfd2fd-3423-4961-8b45-10ce1498ef71,1598828.0234375,5316.34712087298
72,06,065,042719,1,060650427191,Block Group 1,3,2,1.13,"NO3N; BA; ALPHA","NO3N; BA",14,1,17,17,26.59,77,85.29,90,83,350.84,79,100,cd48f5db-77a0-48a7-9417-38ed573f44e3,24344053.5546875,26216.9164359684
73,06,037,209300,2,060372093002,Block Group 2,0,0,0,NA,NA,0,0,0,1,0,0,0,28,29,0,0,0,8f9b4353-047f-49fd-ae79-26f0dcef4924,226157.1640625,2041.62228551637
74,06,037,209402,2,060372094022,Block Group 2,0,0,0,NA,NA,0,0,0,2,0.73,0,0,28,52,0,0,0,576fd199-155c-496e-80a1-8266784ea77b,102289.890625,1332.74298905011
75,06,037,209510,2,060372095102,Block Group 2,0,0,0,NA,NA,0,0,0,1,2.87,0,0,28,64,0,0,0,4cbbd50e-9f8f-4ff7-b35c-2602f1f07a40,136980.60546875,1593.56547831997
76,06,037,209520,1,060372095201,Block Group 1,0,0,0,NA,NA,0,0,0,2,4.16,0,0,28,67,0,0,0,6d8d9dbd-53d6-48bb-8e3c-bdf745b22876,204917.28515625,1819.33569604552
77,06,037,209810,2,060372098102,Block Group 2,0,0,0,NA,NA,0,0,0,2,2.5,0,0,28,62,0,0,0,34ee474f-1b4c-4d39-90d7-121879df7c94,102871.51953125,1389.25369517546
78,06,037,209820,1,060372098201,Block Group 1,0,0,0,NA,NA,0,0,0,2,2.67,0,0,28,63,0,0,0,c0fa9660-11e2-4234-a912-667df127f4fb,131779.38671875,1615.53266830554
79,06,037,210010,1,060372100101,Block Group 1,0,0,0,NA,NA,0,0,0,3,3.65,0,0,28,66,0,0,0,499c1aef-18b2-4192-9769-a43e787bf6ad,183114.2265625,1710.51609329998
80,06,037,210010,2,060372100102,Block Group 2,0,0,0,NA,NA,0,0,0,3,0.73,0,0,28,52,0,0,0,8ebf620d-1b6c-42d8-abc2-2fb5e79c3b38,277884.81640625,2827.68791073195
81,06,037,543801,1,060375438011,Block Group 1,0,1,0, ,CN,0,2,4,4,0,1,25,39,9,12.5,6,100,b671eca9-0a37-44d7-84a3-756312da60ec,2505851.88671875,7339.96479163108
82,06,037,543802,2,060375438022,Block Group 2,0,1,0, ,CN,0,4,4,4,0,0,50,10,9,25,12,100,d9ec216b-8796-4966-95c9-dd554adc940a,411522.6953125,2890.36564454607
83,06,037,543802,3,060375438023,Block Group 3,0,1,0, ,CN,0,2,2,2,2.31,0,50,10,61,25,12,100,666678a7-af4c-4c28-9845-4188b8694aed,460553.27734375,2894.0686702044
84,06,037,543802,4,060375438024,Block Group 4,0,1,0, ,CN,0,2,2,2,2.75,0,50,10,63,25,12,100,6d2f9ef3-fd22-4716-bb17-3ba3742c498b,605328.50390625,3971.67891794709
85,06,111,004704,2,061110047042,Block Group 2,0,0,0, , ,0,0,3,3,91.15,5,0,65,90,0,0,100,deb47999-43fd-494d-a414-1b78dc17d90a,551992.05859375,3130.75466130911
86,06,037,201110,2,060372011102,Block Group 2,0,0,0,NA,NA,0,0,0,2,2,0,0,27,60,0,0,0,119cc7a7-a2eb-4b2e-98a1-c7e8de791d7a,612466.796875,3872.50547894333
87,06,037,201120,1,060372011201,Block Group 1,0,0,0,NA,NA,0,0,0,2,0,0,0,27,39,0,0,0,e9dbb7e4-564b-47b0-91b0-90bf48affa8a,298667.875,3416.76852420856
88,06,037,201120,2,060372011202,Block Group 2,0,0,0,NA,NA,0,0,0,4,0.06,0,0,27,43,0,0,0,504e870a-2d91-4929-bb5b-ed226047ad31,565774.203125,4022.49612199718
89,06,037,201120,3,060372011203,Block Group 3,0,0,0,NA,NA,0,0,0,1,0.01,0,0,27,40,0,0,0,682f711d-89fa-48d4-accb-56646e0b44af,293610.76171875,2504.19232383846
90,06,037,201200,1,060372012001,Block Group 1,0,0,0,NA,NA,0,0,0,2,1.55,0,0,27,58,0,0,0,7140eded-1b27-4c1e-bed5-cc9af007cdc4,644404.3046875,3842.79613263062
91,06,037,201301,1,060372013011,Block Group 1,0,0,0,NA,NA,0,0,0,4,4.17,0,0,27,67,0,0,0,640251c0-91ee-49ad-bf9b-b6f2b3541d55,603885.15234375,4151.73412901826
92,06,037,208610,1,060372086101,Block Group 1,0,0,0,NA,NA,0,0,0,2,0,0,0,28,29,0,0,0,2df9a1b9-a112-4fa9-b070-f2f5a269ee2f,315510.08984375,2263.70190932857
93,06,037,137402,3,060371374023,Block Group 3,0,0,0,NA,NA,0,0,0,4,0.03,0,0,26,41,0,0,0,ce57bd8e-fcd3-43d8-9d4e-91334584dcaa,922863.00390625,6694.19877506208
94,06,111,005303,2,061110053032,Block Group 2,1,2,1.52,NO3N,"U; NO3N",1,1,6,6,0,3,25,58,25,53.8,22,100,cf9c2d32-08b5-469e-9ce2-39aa2dbcf297,4542298.50390625,12190.9898345528
95,06,111,008002,2,061110080022,Block Group 2,2,3,1.24,"NO3N; SE","NO3N; SE; PCATE",3,0,3,3,3.9,5,100,65,67,362.38,80,100,68dbf226-0acf-4c53-b128-c46c5bc61427,1558152.15625,5737.34667612929
96,06,001,442000,2,060014420002,Block Group 2,0,0,0, , ,0,0,2,4,17.79,23,0,81,80,0,0,50,71ca083d-e8ac-4d9a-9ea6-347969e5562b,1951266.49609375,8450.50943787133
97,06,001,442302,2,060014423022,Block Group 2,0,0,0, , ,0,0,2,2,0,2,0,48,37,0,0,100,72261721-e577-4b8d-892e-0b4ddb3a2376,351356.33203125,2882.3130400443
98,06,111,008004,3,061110080043,Block Group 3,2,3,1.24,"NO3N; SE","NO3N; SE; PCATE",2,0,2,2,0.04,4,100,62,42,362.38,80,100,24c3fa43-177f-43b4-bf78-0db884a5dba7,450130.09765625,2813.73692109503
99,06,111,008303,2,061110083032,Block Group 2,0,0,0,NA,NA,0,0,0,3,28.68,26,0,83,84,0,0,0,5f7387e0-d2ec-4546-a20d-363fb4fec29c,1012604.65234375,6414.24872330968
100,06,111,008600,1,061110086001,Block Group 1,1,1,1.1,NO3N,NO3N,2,0,3,3,0.17,10,66.67,74,46,107.33,37,100,b2c2fba4-082e-4c35-a9f0-cf4faca1196d,694006.75390625,3459.0632676275
101,06,111,008600,4,061110086004,Block Group 4,1,1,1.1,NO3N,NO3N,2,0,2,2,0,8,100,71,25,161,53,100,55b52077-7119-4b43-b870-a9035784640f,272702.7734375,2296.13396345355
102,06,111,008700,1,061110087001,Block Group 1,1,1,1.1,NO3N,NO3N,1,0,1,1,0.8,4,100,62,53,161,53,100,5d443e7f-59db-4149-ac0b-2bcc45e365ee,1043460.9921875,4326.7304744272
103,06,111,008800,1,061110088001,Block Group 1,0,0,0, , ,0,0,2,2,0,4,0,62,25,0,0,100,12b81f53-ac23-4831-b156-d37220615d7e,1188396.24609375,5336.47879439072
104,06,111,008900,1,061110089001,Block Group 1,0,0,0, , ,0,0,2,2,6.99,6,0,67,72,0,0,100,bd20dd63-0adc-4cda-948a-d9a0ca374ecf,393152.8671875,2789.56409706144
105,06,111,003801,2,061110038012,Block Group 2,1,1,1.1,NO3N,NO3N,1,0,2,2,5.32,8,50,71,70,80.5,31,100,1aa9448e-058c-42fb-89df-ea52e88036d2,956375.40625,3882.15804211684
106,06,065,043304,2,060650433042,Block Group 2,0,0,0,NA,NA,0,0,0,28,580.35,376,0,98,97,0,0,0,69457f85-c3f8-4499-9e80-41b22bb9aadf,54213794.5664063,45437.4995787704
107,06,065,045604,2,060650456042,Block Group 2,2,0,2.79,"F; AS", ,8,0,14,31,903.76,91,25.81,91,99,58.82,26,45.16,544561ef-fc9d-477d-9033-e9c209215691,60650719.3085938,45454.1504132252
108,06,065,046401,2,060650464012,Block Group 2,1,2,3.5,AL,"ALPHA; NO3N",2,7,11,13,11.85,60,42.31,88,77,99.42,36,84.62,dfef42e3-94bc-4bbb-9876-2f42ed276bbf,14161064.6601563,29244.1852207061
109,06,065,030300,1,060650303001,Block Group 1,5,2,4.4,"DBCP; TCE; NO3N; PCATE; PCE","PCATE; DCE11",2,0,2,2,0,2,100,51,16,644.05,93,100,02f194e8-9af5-4b1b-8295-aca1ce051f4b,593555.98046875,4597.88168921026
110,06,111,004304,1,061110043041,Block Group 1,0,0,0, , ,0,0,1,1,0,2,0,53,25,0,0,100,77201d26-0944-4574-972c-d748d8830240,320178.1875,2372.51202268158
111,06,111,004304,2,061110043042,Block Group 2,0,0,0, , ,0,0,1,1,0.09,2,0,53,43,0,0,100,8b87b973-3c53-4beb-a9df-dc9e5c5a3d47,717862.30078125,3482.17461319758
112,06,037,551700,5,060375517005,Block Group 5,0,0,0, , ,0,0,3,3,1.09,3,0,55,55,0,0,100,fade2062-51a5-4009-bcdd-54c14b6e0423,231406.16015625,2543.27426631538
113,06,037,551800,1,060375518001,Block Group 1,0,0,0, , ,0,0,4,4,0,10,0,73,9,0,0,100,a6c73cb8-5630-4092-98c5-7f7c4d5b4d4e,633316.375,3301.15073615043
114,06,037,551800,3,060375518003,Block Group 3,0,0,0, , ,0,0,2,2,3.83,3,0,55,66,0,0,100,52724e6f-183e-462e-b221-732178fc3538,434235.50390625,2873.3251910539
115,06,037,551800,4,060375518004,Block Group 4,0,0,0, , ,0,0,2,2,0,5,0,63,9,0,0,100,3c8abf18-3cfa-4fb8-9a7b-7216841b8adf,475251.1484375,2922.36664684249
116,06,031,000405,1,060310004051,Block Group 1,1,2,1.73,AS,"AS; AL",3,0,3,3,11.98,24,100,82,77,217.33,64,100,12cfd452-4b25-4bbf-aa40-2d79227362d1,1170105.2890625,6104.27396757973
117,06,031,000404,5,060310004045,Block Group 5,1,2,1.69,AS,"AS; AL",4,0,4,4,10.21,19,100,79,76,216.92,64,100,1db0ede7-7010-4c31-82d2-f2518659c0a5,2174219.51171875,6259.03915979255
118,06,031,000404,4,060310004044,Block Group 4,1,1,1.57,AS,AS,3,0,3,3,28.09,8,100,70,83,165.67,56,100,e5fe038b-5d6f-4b64-8bd6-d192b29cdae4,2100911.18359375,6225.83635365204
119,06,031,000404,1,060310004041,Block Group 1,1,1,1.73,AS,AS,2,0,2,2,25.64,8,100,70,83,167.33,57,100,9cd0efdc-33dd-4971-8666-fc72d33111d5,2013802.0390625,5984.92075766875
120,06,013,336101,2,060133361012,Block Group 2,0,1,0, ,NO3N,0,2,2,2,0.15,3,50,55,45,25,12,100,11ca7504-5b8b-41d9-aff7-d08bfbd667ed,437575.16015625,3132.04946015703
121,06,095,251200,2,060952512002,Block Group 2,1,0,1.55,PCE, ,1,0,1,1,0.98,9,100,72,54,115.47,42,100,74fc405a-1ad1-4bea-8c7e-bf31c68eaa74,723117.43359375,4905.3006491156
122,06,095,251802,1,060952518021,Block Group 1,0,0,0,NA,NA,0,0,0,4,0,3,0,59,37,0,0,0,2364a90e-be8f-47c2-8c7b-b320e7e2a77b,3980548.546875,8987.34917537952
123,06,095,251901,1,060952519011,Block Group 1,0,0,0, , ,0,0,3,4,0,1,0,45,24,0,0,75,d753d34f-46db-4172-9515-fdc85380a976,3609066.3515625,13791.4497521184
124,06,095,252103,2,060952521032,Block Group 2,1,0,1.55,PCE, ,2,0,2,4,2.08,3,50,58,61,57.73,25,50,66037766-c529-4566-ba6d-9bc9bb39c3ef,1887258.4921875,7633.90325141801
125,06,073,017034,1,060730170341,Block Group 1,0,0,0,NA,NA,0,0,0,6,0,1,0,47,35,0,0,0,c03ef13a-712f-4d71-a666-c90c7853ae53,2734146.2265625,13947.7288347369
126,06,073,017014,2,060730170142,Block Group 2,0,0,0,NA,NA,0,0,0,3,0.09,2,0,54,44,0,0,0,b77fb605-5156-49ba-9df7-1ada17590ea6,1148250.62890625,5153.93209372768
